"cell.type","nt1","soma.loc","wa.lin","wa.des","expression","gene"
"PDE","Dopamine (DA)","Body wall","V5L.paaa","Neuron, dopaminergic of postderid sensillum",3295.35,"tbb-2"
"PDE","Dopamine (DA)","Body wall","V5L.paaa","Neuron, dopaminergic of postderid sensillum",546.443,"tbb-4"
"PDE","Dopamine (DA)","Body wall","V5L.paaa","Neuron, dopaminergic of postderid sensillum",164.025,"tbb-6"
"PHA","Glutamate (Glu)","Tail - Lumbar G","AB plpppaapp","Phasmid neurons, chemosensory",22.574,"avr-14"
"PHA","Glutamate (Glu)","Tail - Lumbar G","AB plpppaapp","Phasmid neurons, chemosensory",92.341,"tbb-1"
"PHA","Glutamate (Glu)","Tail - Lumbar G","AB plpppaapp","Phasmid neurons, chemosensory",318.626,"tbb-2"
"PHA","Glutamate (Glu)","Tail - Lumbar G","AB plpppaapp","Phasmid neurons, chemosensory",53.67,"tbb-4"
"PHA","Glutamate (Glu)","Tail - Lumbar G","AB plpppaapp","Phasmid neurons, chemosensory",67.707,"tbb-6"
"PHB","Glutamate (Glu)","Tail - Lumbar G","AB plapppappp","Phasmid neurons, chemosensory",26.121,"avr-14"
"PHB","Glutamate (Glu)","Tail - Lumbar G","AB plapppappp","Phasmid neurons, chemosensory",30.027,"unc-9"
"PHB","Glutamate (Glu)","Tail - Lumbar G","AB plapppappp","Phasmid neurons, chemosensory",75.365,"tbb-1"
"PHB","Glutamate (Glu)","Tail - Lumbar G","AB plapppappp","Phasmid neurons, chemosensory",283.472,"tbb-2"
"PHB","Glutamate (Glu)","Tail - Lumbar G","AB plapppappp","Phasmid neurons, chemosensory",115.563,"tbb-4"
"PHB","Glutamate (Glu)","Tail - Lumbar G","AB plapppappp","Phasmid neurons, chemosensory",16.852,"tbb-6"
"PHC","Glutamate (Glu)","Tail - Lumbar G","TL.pppaa","Neuron, striated rootlet in male, possibly sensory in tail spike",113.398,"avr-14"
"PHC","Glutamate (Glu)","Tail - Lumbar G","TL.pppaa","Neuron, striated rootlet in male, possibly sensory in tail spike",41.766,"unc-7"
"PHC","Glutamate (Glu)","Tail - Lumbar G","TL.pppaa","Neuron, striated rootlet in male, possibly sensory in tail spike",128.36,"unc-9"
"PHC","Glutamate (Glu)","Tail - Lumbar G","TL.pppaa","Neuron, striated rootlet in male, possibly sensory in tail spike",66.228,"tbb-1"
"PHC","Glutamate (Glu)","Tail - Lumbar G","TL.pppaa","Neuron, striated rootlet in male, possibly sensory in tail spike",873.248,"tbb-2"
"PLM","Glutamate (Glu)","Tail - Lumbar G","AB plapappppaa","Posterior lateral microtubule cells, touch receptor neurons",55.718,"avr-14"
"PLM","Glutamate (Glu)","Tail - Lumbar G","AB plapappppaa","Posterior lateral microtubule cells, touch receptor neurons",128.954,"unc-7"
"PLM","Glutamate (Glu)","Tail - Lumbar G","AB plapappppaa","Posterior lateral microtubule cells, touch receptor neurons",135.107,"unc-9"
"PLM","Glutamate (Glu)","Tail - Lumbar G","AB plapappppaa","Posterior lateral microtubule cells, touch receptor neurons",232.482,"ben-1"
"PLM","Glutamate (Glu)","Tail - Lumbar G","AB plapappppaa","Posterior lateral microtubule cells, touch receptor neurons",95.443,"tbb-1"
"PLM","Glutamate (Glu)","Tail - Lumbar G","AB plapappppaa","Posterior lateral microtubule cells, touch receptor neurons",1109.67,"tbb-2"
"PLM","Glutamate (Glu)","Tail - Lumbar G","AB plapappppaa","Posterior lateral microtubule cells, touch receptor neurons",147017.4,"mec-7"
"PLN","Acetylcholine (ACh)","Tail","TL.pppap","Interneuron, associated with PLM",16.731,"glc-3"
"PLN","Acetylcholine (ACh)","Tail","TL.pppap","Interneuron, associated with PLM",15.922,"glc-4"
"PLN","Acetylcholine (ACh)","Tail","TL.pppap","Interneuron, associated with PLM",68.494,"unc-9"
"PLN","Acetylcholine (ACh)","Tail","TL.pppap","Interneuron, associated with PLM",287.642,"ben-1"
"PLN","Acetylcholine (ACh)","Tail","TL.pppap","Interneuron, associated with PLM",98.87,"tbb-1"
"PLN","Acetylcholine (ACh)","Tail","TL.pppap","Interneuron, associated with PLM",2035.705,"tbb-2"
"PLN","Acetylcholine (ACh)","Tail","TL.pppap","Interneuron, associated with PLM",2288.471,"mec-7"
"PQR","Glutamate (Glu)","Tail - Lumbar G","QL.ap","Neuron, basal body, not part of a sensillum, projects into preanal ganglion",82.032,"avr-14"
"PQR","Glutamate (Glu)","Tail - Lumbar G","QL.ap","Neuron, basal body, not part of a sensillum, projects into preanal ganglion",24.248,"unc-7"
"PQR","Glutamate (Glu)","Tail - Lumbar G","QL.ap","Neuron, basal body, not part of a sensillum, projects into preanal ganglion",35.103,"unc-9"
"PQR","Glutamate (Glu)","Tail - Lumbar G","QL.ap","Neuron, basal body, not part of a sensillum, projects into preanal ganglion",41.493,"ben-1"
"PQR","Glutamate (Glu)","Tail - Lumbar G","QL.ap","Neuron, basal body, not part of a sensillum, projects into preanal ganglion",173.901,"tbb-1"
"PQR","Glutamate (Glu)","Tail - Lumbar G","QL.ap","Neuron, basal body, not part of a sensillum, projects into preanal ganglion",1011.871,"tbb-2"
"PQR","Glutamate (Glu)","Tail - Lumbar G","QL.ap","Neuron, basal body, not part of a sensillum, projects into preanal ganglion",341.046,"tbb-4"
"PQR","Glutamate (Glu)","Tail - Lumbar G","QL.ap","Neuron, basal body, not part of a sensillum, projects into preanal ganglion",174.361,"tbb-6"
"PVC","Acetylcholine (ACh)","Tail","AB plpppaapaa","Ventral cord interneuron, cell body in lumbar ganglion, synapses onto VB and DB motor neurons, formerly called delta",105.993,"avr-14"
"PVC","Acetylcholine (ACh)","Tail","AB plpppaapaa","Ventral cord interneuron, cell body in lumbar ganglion, synapses onto VB and DB motor neurons, formerly called delta",52.066,"glc-3"
"PVC","Acetylcholine (ACh)","Tail","AB plpppaapaa","Ventral cord interneuron, cell body in lumbar ganglion, synapses onto VB and DB motor neurons, formerly called delta",159.594,"glc-4"
"PVC","Acetylcholine (ACh)","Tail","AB plpppaapaa","Ventral cord interneuron, cell body in lumbar ganglion, synapses onto VB and DB motor neurons, formerly called delta",84.807,"unc-7"
"PVC","Acetylcholine (ACh)","Tail","AB plpppaapaa","Ventral cord interneuron, cell body in lumbar ganglion, synapses onto VB and DB motor neurons, formerly called delta",114.385,"unc-9"
"PVC","Acetylcholine (ACh)","Tail","AB plpppaapaa","Ventral cord interneuron, cell body in lumbar ganglion, synapses onto VB and DB motor neurons, formerly called delta",1065.573,"ben-1"
"PVC","Acetylcholine (ACh)","Tail","AB plpppaapaa","Ventral cord interneuron, cell body in lumbar ganglion, synapses onto VB and DB motor neurons, formerly called delta",235.889,"tbb-1"
"PVC","Acetylcholine (ACh)","Tail","AB plpppaapaa","Ventral cord interneuron, cell body in lumbar ganglion, synapses onto VB and DB motor neurons, formerly called delta",1857.884,"tbb-2"
"PVD","Glutamate (Glu)","Body wall","V5L.paapa","Neuron, lateral process adjacent to excretory canal",186.863,"avr-14"
"PVD","Glutamate (Glu)","Body wall","V5L.paapa","Neuron, lateral process adjacent to excretory canal",13.191,"glc-2"
"PVD","Glutamate (Glu)","Body wall","V5L.paapa","Neuron, lateral process adjacent to excretory canal",12.351,"glc-3"
"PVD","Glutamate (Glu)","Body wall","V5L.paapa","Neuron, lateral process adjacent to excretory canal",4.426,"glc-4"
"PVD","Glutamate (Glu)","Body wall","V5L.paapa","Neuron, lateral process adjacent to excretory canal",189.546,"unc-7"
"PVD","Glutamate (Glu)","Body wall","V5L.paapa","Neuron, lateral process adjacent to excretory canal",130.289,"unc-9"
"PVD","Glutamate (Glu)","Body wall","V5L.paapa","Neuron, lateral process adjacent to excretory canal",476.089,"ben-1"
"PVD","Glutamate (Glu)","Body wall","V5L.paapa","Neuron, lateral process adjacent to excretory canal",79.261,"tbb-1"
"PVD","Glutamate (Glu)","Body wall","V5L.paapa","Neuron, lateral process adjacent to excretory canal",1984.338,"tbb-2"
"PVD","Glutamate (Glu)","Body wall","V5L.paapa","Neuron, lateral process adjacent to excretory canal",1125.069,"mec-7"
"PVM","Unknown","Body wall","QL.paa","Posterior ventral microtubule cell, touch receptor",60.102,"avr-14"
"PVM","Unknown","Body wall","QL.paa","Posterior ventral microtubule cell, touch receptor",23.307,"unc-7"
"PVM","Unknown","Body wall","QL.paa","Posterior ventral microtubule cell, touch receptor",101.923,"unc-9"
"PVM","Unknown","Body wall","QL.paa","Posterior ventral microtubule cell, touch receptor",427.184,"ben-1"
"PVM","Unknown","Body wall","QL.paa","Posterior ventral microtubule cell, touch receptor",64.718,"tbb-1"
"PVM","Unknown","Body wall","QL.paa","Posterior ventral microtubule cell, touch receptor",820.716,"tbb-2"
"PVM","Unknown","Body wall","QL.paa","Posterior ventral microtubule cell, touch receptor",47685.73,"mec-7"
"PVN","ACh (unc-17, no cho-1)","Tail","TL.appp","Interneuron/motor neuron, post. vent. cord, few synapses",89.136,"avr-14"
"PVN","ACh (unc-17, no cho-1)","Tail","TL.appp","Interneuron/motor neuron, post. vent. cord, few synapses",97.476,"unc-7"
"PVN","ACh (unc-17, no cho-1)","Tail","TL.appp","Interneuron/motor neuron, post. vent. cord, few synapses",104.668,"unc-9"
"PVN","ACh (unc-17, no cho-1)","Tail","TL.appp","Interneuron/motor neuron, post. vent. cord, few synapses",519.515,"ben-1"
"PVN","ACh (unc-17, no cho-1)","Tail","TL.appp","Interneuron/motor neuron, post. vent. cord, few synapses",1345.442,"tbb-2"
"PVP","Acetylcholine (ACh)","Tail - PAG","AB plppppaaa","Interneuron, cell body in preanal ganglion, projects along ventral cord to nerve ring",105.738,"avr-14"
"PVP","Acetylcholine (ACh)","Tail - PAG","AB plppppaaa","Interneuron, cell body in preanal ganglion, projects along ventral cord to nerve ring",3.116,"glc-1"
"PVP","Acetylcholine (ACh)","Tail - PAG","AB plppppaaa","Interneuron, cell body in preanal ganglion, projects along ventral cord to nerve ring",21.681,"glc-3"
"PVP","Acetylcholine (ACh)","Tail - PAG","AB plppppaaa","Interneuron, cell body in preanal ganglion, projects along ventral cord to nerve ring",197.113,"glc-4"
"PVP","Acetylcholine (ACh)","Tail - PAG","AB plppppaaa","Interneuron, cell body in preanal ganglion, projects along ventral cord to nerve ring",27.724,"unc-7"
"PVP","Acetylcholine (ACh)","Tail - PAG","AB plppppaaa","Interneuron, cell body in preanal ganglion, projects along ventral cord to nerve ring",12.332,"unc-9"
"PVP","Acetylcholine (ACh)","Tail - PAG","AB plppppaaa","Interneuron, cell body in preanal ganglion, projects along ventral cord to nerve ring",398.653,"ben-1"
"PVP","Acetylcholine (ACh)","Tail - PAG","AB plppppaaa","Interneuron, cell body in preanal ganglion, projects along ventral cord to nerve ring",125.007,"tbb-1"
"PVP","Acetylcholine (ACh)","Tail - PAG","AB plppppaaa","Interneuron, cell body in preanal ganglion, projects along ventral cord to nerve ring",1825.535,"tbb-2"
"PVQ","Glutamate (Glu)","Tail - Lumbar G","AB plapppaaa","Interneuron, projects along ventral cord to ring",10.578,"avr-14"
"PVQ","Glutamate (Glu)","Tail - Lumbar G","AB plapppaaa","Interneuron, projects along ventral cord to ring",2.555,"glc-4"
"PVQ","Glutamate (Glu)","Tail - Lumbar G","AB plapppaaa","Interneuron, projects along ventral cord to ring",33.965,"unc-7"
"PVQ","Glutamate (Glu)","Tail - Lumbar G","AB plapppaaa","Interneuron, projects along ventral cord to ring",16.937,"unc-9"
"PVQ","Glutamate (Glu)","Tail - Lumbar G","AB plapppaaa","Interneuron, projects along ventral cord to ring",245.944,"ben-1"
"PVQ","Glutamate (Glu)","Tail - Lumbar G","AB plapppaaa","Interneuron, projects along ventral cord to ring",35.09,"tbb-1"
"PVQ","Glutamate (Glu)","Tail - Lumbar G","AB plapppaaa","Interneuron, projects along ventral cord to ring",604.241,"tbb-2"
"PVR","Glutamate (Glu)","Tail - Lumbar G","C aappa","Interneuron, projects along ventral cord to ring",12.249,"avr-14"
"PVR","Glutamate (Glu)","Tail - Lumbar G","C aappa","Interneuron, projects along ventral cord to ring",86.089,"glc-4"
"PVR","Glutamate (Glu)","Tail - Lumbar G","C aappa","Interneuron, projects along ventral cord to ring",91.079,"unc-7"
"PVR","Glutamate (Glu)","Tail - Lumbar G","C aappa","Interneuron, projects along ventral cord to ring",104.594,"unc-9"
"PVR","Glutamate (Glu)","Tail - Lumbar G","C aappa","Interneuron, projects along ventral cord to ring",2279.256,"ben-1"
"PVR","Glutamate (Glu)","Tail - Lumbar G","C aappa","Interneuron, projects along ventral cord to ring",198.018,"tbb-1"
"PVR","Glutamate (Glu)","Tail - Lumbar G","C aappa","Interneuron, projects along ventral cord to ring",1820.765,"tbb-2"
"PVR","Glutamate (Glu)","Tail - Lumbar G","C aappa","Interneuron, projects along ventral cord to ring",14.93,"tbb-6"
"PVR","Glutamate (Glu)","Tail - Lumbar G","C aappa","Interneuron, projects along ventral cord to ring",11666.54,"mec-7"
"PVT","Unknown","Tail - PAG","AB plpappppa","Interneuron, projects along ventral cord to ring",4.713,"avr-14"
"PVT","Unknown","Tail - PAG","AB plpappppa","Interneuron, projects along ventral cord to ring",8.188,"unc-7"
"PVT","Unknown","Tail - PAG","AB plpappppa","Interneuron, projects along ventral cord to ring",12.495,"unc-9"
"PVT","Unknown","Tail - PAG","AB plpappppa","Interneuron, projects along ventral cord to ring",406.01,"ben-1"
"PVT","Unknown","Tail - PAG","AB plpappppa","Interneuron, projects along ventral cord to ring",38.074,"tbb-1"
"PVT","Unknown","Tail - PAG","AB plpappppa","Interneuron, projects along ventral cord to ring",2201.509,"tbb-2"
"PVT","Unknown","Tail - PAG","AB plpappppa","Interneuron, projects along ventral cord to ring",6.44,"tbb-6"
"PVW","Unknown","Tail - Lumbar G","TL.ppa","Interneuron, posterior ventral cord, few synapses",56.541,"avr-14"
"PVW","Unknown","Tail - Lumbar G","TL.ppa","Interneuron, posterior ventral cord, few synapses",3.757,"glc-4"
"PVW","Unknown","Tail - Lumbar G","TL.ppa","Interneuron, posterior ventral cord, few synapses",113.533,"unc-7"
"PVW","Unknown","Tail - Lumbar G","TL.ppa","Interneuron, posterior ventral cord, few synapses",321.678,"unc-9"
"PVW","Unknown","Tail - Lumbar G","TL.ppa","Interneuron, posterior ventral cord, few synapses",1363.028,"ben-1"
"PVW","Unknown","Tail - Lumbar G","TL.ppa","Interneuron, posterior ventral cord, few synapses",171.118,"tbb-1"
"PVW","Unknown","Tail - Lumbar G","TL.ppa","Interneuron, posterior ventral cord, few synapses",2502.227,"tbb-2"
"RIA","Glutamate (Glu)","Tail - PAG","AB alapaapaa","Ring interneuron, many synapses",139.113,"avr-14"
"RIA","Glutamate (Glu)","Tail - PAG","AB alapaapaa","Ring interneuron, many synapses",1339.576,"avr-15"
"RIA","Glutamate (Glu)","Tail - PAG","AB alapaapaa","Ring interneuron, many synapses",26.88,"glc-4"
"RIA","Glutamate (Glu)","Tail - PAG","AB alapaapaa","Ring interneuron, many synapses",54.764,"unc-7"
"RIA","Glutamate (Glu)","Tail - PAG","AB alapaapaa","Ring interneuron, many synapses",36.208,"unc-9"
"RIA","Glutamate (Glu)","Tail - PAG","AB alapaapaa","Ring interneuron, many synapses",72.938,"ben-1"
"RIA","Glutamate (Glu)","Tail - PAG","AB alapaapaa","Ring interneuron, many synapses",138.158,"tbb-1"
"RIA","Glutamate (Glu)","Tail - PAG","AB alapaapaa","Ring interneuron, many synapses",478.739,"tbb-2"
"RIB","Acetylcholine (ACh)","Head","AB plpaappap","Ring interneuron",48.328,"avr-14"
"RIB","Acetylcholine (ACh)","Head","AB plpaappap","Ring interneuron",2632.914,"avr-15"
"RIB","Acetylcholine (ACh)","Head","AB plpaappap","Ring interneuron",126.579,"glc-2"
"RIB","Acetylcholine (ACh)","Head","AB plpaappap","Ring interneuron",141.372,"unc-7"
"RIB","Acetylcholine (ACh)","Head","AB plpaappap","Ring interneuron",68.458,"unc-9"
"RIB","Acetylcholine (ACh)","Head","AB plpaappap","Ring interneuron",152.958,"ben-1"
"RIB","Acetylcholine (ACh)","Head","AB plpaappap","Ring interneuron",123.121,"tbb-1"
"RIB","Acetylcholine (ACh)","Head","AB plpaappap","Ring interneuron",737.953,"tbb-2"
"RIC","Octopamine (OA)","Head","AB plppaaaapp","Ring interneuron",223.294,"avr-14"
"RIC","Octopamine (OA)","Head","AB plppaaaapp","Ring interneuron",11.507,"glc-2"
"RIC","Octopamine (OA)","Head","AB plppaaaapp","Ring interneuron",41.747,"glc-3"
"RIC","Octopamine (OA)","Head","AB plppaaaapp","Ring interneuron",20.857,"glc-4"
"RIC","Octopamine (OA)","Head","AB plppaaaapp","Ring interneuron",105.426,"unc-9"
"RIC","Octopamine (OA)","Head","AB plppaaaapp","Ring interneuron",43.208,"ben-1"
"RIC","Octopamine (OA)","Head","AB plppaaaapp","Ring interneuron",62.891,"tbb-1"
"RIC","Octopamine (OA)","Head","AB plppaaaapp","Ring interneuron",334.422,"tbb-2"
"RID","Unknown","Head","AB alappaapa","Ring interneuron, projects along dorsal cord",11.522,"avr-14"
"RID","Unknown","Head","AB alappaapa","Ring interneuron, projects along dorsal cord",2.824,"glc-1"
"RID","Unknown","Head","AB alappaapa","Ring interneuron, projects along dorsal cord",3.154,"glc-2"
"RID","Unknown","Head","AB alappaapa","Ring interneuron, projects along dorsal cord",12.641,"glc-4"
"RID","Unknown","Head","AB alappaapa","Ring interneuron, projects along dorsal cord",24.788,"unc-7"
"RID","Unknown","Head","AB alappaapa","Ring interneuron, projects along dorsal cord",27.213,"unc-9"
"RID","Unknown","Head","AB alappaapa","Ring interneuron, projects along dorsal cord",477.035,"ben-1"
"RID","Unknown","Head","AB alappaapa","Ring interneuron, projects along dorsal cord",108.071,"tbb-1"
"RID","Unknown","Head","AB alappaapa","Ring interneuron, projects along dorsal cord",1489.877,"tbb-2"
"RID","Unknown","Head","AB alappaapa","Ring interneuron, projects along dorsal cord",1044.361,"mec-7"
"RIF","Acetylcholine (ACh)","Head - RVG","AB plppapaaap","Ring interneuron",53.832,"avr-14"
"RIF","Acetylcholine (ACh)","Head - RVG","AB plppapaaap","Ring interneuron",54.585,"unc-7"
"RIF","Acetylcholine (ACh)","Head - RVG","AB plppapaaap","Ring interneuron",141.993,"unc-9"
"RIF","Acetylcholine (ACh)","Head - RVG","AB plppapaaap","Ring interneuron",97.398,"ben-1"
"RIF","Acetylcholine (ACh)","Head - RVG","AB plppapaaap","Ring interneuron",86.82,"tbb-1"
"RIF","Acetylcholine (ACh)","Head - RVG","AB plppapaaap","Ring interneuron",376.083,"tbb-2"
"RIG","Glutamate (Glu)","Head - RVG","AB plppappaa","Ring interneuron",206.341,"avr-14"
"RIG","Glutamate (Glu)","Head - RVG","AB plppappaa","Ring interneuron",156.209,"glc-2"
"RIG","Glutamate (Glu)","Head - RVG","AB plppappaa","Ring interneuron",47.766,"unc-7"
"RIG","Glutamate (Glu)","Head - RVG","AB plppappaa","Ring interneuron",103.161,"unc-9"
"RIG","Glutamate (Glu)","Head - RVG","AB plppappaa","Ring interneuron",41.945,"ben-1"
"RIG","Glutamate (Glu)","Head - RVG","AB plppappaa","Ring interneuron",219.276,"tbb-1"
"RIG","Glutamate (Glu)","Head - RVG","AB plppappaa","Ring interneuron",572.331,"tbb-2"
"RIH","Acetylcholine (ACh)","Head","AB prpappaaa","Ring interneuron",107.139,"avr-14"
"RIH","Acetylcholine (ACh)","Head","AB prpappaaa","Ring interneuron",37.147,"glc-3"
"RIH","Acetylcholine (ACh)","Head","AB prpappaaa","Ring interneuron",27.041,"glc-4"
"RIH","Acetylcholine (ACh)","Head","AB prpappaaa","Ring interneuron",74.525,"unc-9"
"RIH","Acetylcholine (ACh)","Head","AB prpappaaa","Ring interneuron",81.686,"ben-1"
"RIH","Acetylcholine (ACh)","Head","AB prpappaaa","Ring interneuron",166.262,"tbb-1"
"RIH","Acetylcholine (ACh)","Head","AB prpappaaa","Ring interneuron",556.027,"tbb-2"
"RIM","Tyramine (TA)","Head","AB plppaapap","Ring motor neuron",83.503,"avr-14"
"RIM","Tyramine (TA)","Head","AB plppaapap","Ring motor neuron",51.414,"glc-4"
"RIM","Tyramine (TA)","Head","AB plppaapap","Ring motor neuron",37.73,"unc-7"
"RIM","Tyramine (TA)","Head","AB plppaapap","Ring motor neuron",82.71,"unc-9"
"RIM","Tyramine (TA)","Head","AB plppaapap","Ring motor neuron",57.934,"ben-1"
"RIM","Tyramine (TA)","Head","AB plppaapap","Ring motor neuron",81.324,"tbb-1"
"RIM","Tyramine (TA)","Head","AB plppaapap","Ring motor neuron",310.32,"tbb-2"
"RIP","Unknown","Head","AB alpapaaaa","Ring/pharynx interneuron, only direct connection between pharynx and ring",141.352,"avr-14"
"RIP","Unknown","Head","AB alpapaaaa","Ring/pharynx interneuron, only direct connection between pharynx and ring",157.939,"glc-2"
"RIP","Unknown","Head","AB alpapaaaa","Ring/pharynx interneuron, only direct connection between pharynx and ring",114.438,"glc-3"
"RIP","Unknown","Head","AB alpapaaaa","Ring/pharynx interneuron, only direct connection between pharynx and ring",74.688,"glc-4"
"RIP","Unknown","Head","AB alpapaaaa","Ring/pharynx interneuron, only direct connection between pharynx and ring",85.9,"unc-7"
"RIP","Unknown","Head","AB alpapaaaa","Ring/pharynx interneuron, only direct connection between pharynx and ring",105.187,"unc-9"
"RIP","Unknown","Head","AB alpapaaaa","Ring/pharynx interneuron, only direct connection between pharynx and ring",157.04,"ben-1"
"RIP","Unknown","Head","AB alpapaaaa","Ring/pharynx interneuron, only direct connection between pharynx and ring",130.768,"tbb-1"
"RIP","Unknown","Head","AB alpapaaaa","Ring/pharynx interneuron, only direct connection between pharynx and ring",440.622,"tbb-2"
"RIR","Acetylcholine (ACh)","Head","AB prpapppaa","Ring interneuron",171.14,"glc-3"
"RIR","Acetylcholine (ACh)","Head","AB prpapppaa","Ring interneuron",92.837,"glc-4"
"RIR","Acetylcholine (ACh)","Head","AB prpapppaa","Ring interneuron",112.365,"tbb-1"
"RIR","Acetylcholine (ACh)","Head","AB prpapppaa","Ring interneuron",351.668,"tbb-2"
"RIS","GABA","Head","AB prpappapa","Ring interneuron",18.286,"avr-14"
"RIS","GABA","Head","AB prpappapa","Ring interneuron",629.236,"avr-15"
"RIS","GABA","Head","AB prpappapa","Ring interneuron",95.858,"glc-4"
"RIS","GABA","Head","AB prpappapa","Ring interneuron",129.701,"ben-1"
"RIS","GABA","Head","AB prpappapa","Ring interneuron",61.533,"tbb-1"
"RIS","GABA","Head","AB prpappapa","Ring interneuron",306.47,"tbb-2"
"RIV","Acetylcholine (ACh)","Head","AB plpaapaaa","Ring interneuron",28.612,"avr-14"
"RIV","Acetylcholine (ACh)","Head","AB plpaapaaa","Ring interneuron",2.461,"glc-1"
"RIV","Acetylcholine (ACh)","Head","AB plpaapaaa","Ring interneuron",8.12,"glc-4"
"RIV","Acetylcholine (ACh)","Head","AB plpaapaaa","Ring interneuron",29.741,"unc-7"
"RIV","Acetylcholine (ACh)","Head","AB plpaapaaa","Ring interneuron",60.11,"unc-9"
"RIV","Acetylcholine (ACh)","Head","AB plpaapaaa","Ring interneuron",77.536,"tbb-1"
"RIV","Acetylcholine (ACh)","Head","AB plpaapaaa","Ring interneuron",409.802,"tbb-2"
"RMF","Acetylcholine (ACh)","Head","G2.al","Ring motor neuron/interneuron",36.883,"avr-14"
"RMF","Acetylcholine (ACh)","Head","G2.al","Ring motor neuron/interneuron",19.448,"glc-2"
"RMF","Acetylcholine (ACh)","Head","G2.al","Ring motor neuron/interneuron",59.205,"unc-9"
"RMF","Acetylcholine (ACh)","Head","G2.al","Ring motor neuron/interneuron",126.461,"tbb-1"
"RMF","Acetylcholine (ACh)","Head","G2.al","Ring motor neuron/interneuron",469.618,"tbb-2"
"RMG","Unknown","Head","AB plapaaapp","Ring interneuron",26.862,"avr-15"
"RMG","Unknown","Head","AB plapaaapp","Ring interneuron",43.213,"unc-7"
"RMG","Unknown","Head","AB plapaaapp","Ring interneuron",52.262,"unc-9"
"RMG","Unknown","Head","AB plapaaapp","Ring interneuron",21.519,"tbb-1"
"RMG","Unknown","Head","AB plapaaapp","Ring interneuron",492.577,"tbb-2"
"RMG","Unknown","Head","AB plapaaapp","Ring interneuron",13.69,"tbb-6"
"RMH","Acetylcholine (ACh)","Head","G1.l","Ring motor neuron/interneuron",49.775,"avr-14"
"RMH","Acetylcholine (ACh)","Head","G1.l","Ring motor neuron/interneuron",23.159,"glc-2"
"RMH","Acetylcholine (ACh)","Head","G1.l","Ring motor neuron/interneuron",44.085,"glc-4"
"RMH","Acetylcholine (ACh)","Head","G1.l","Ring motor neuron/interneuron",161.043,"unc-9"
"RMH","Acetylcholine (ACh)","Head","G1.l","Ring motor neuron/interneuron",197.259,"tbb-1"
"RMH","Acetylcholine (ACh)","Head","G1.l","Ring motor neuron/interneuron",723.831,"tbb-2"
"SAA","Acetylcholine (ACh)","Head","AB alppapapa","Ring interneuron, anteriorly projecting process that runs sublaterally",27.38,"glc-2"
"SAA","Acetylcholine (ACh)","Head","AB alppapapa","Ring interneuron, anteriorly projecting process that runs sublaterally",43.208,"unc-7"
"SAA","Acetylcholine (ACh)","Head","AB alppapapa","Ring interneuron, anteriorly projecting process that runs sublaterally",222.859,"ben-1"
"SAA","Acetylcholine (ACh)","Head","AB alppapapa","Ring interneuron, anteriorly projecting process that runs sublaterally",35.052,"tbb-1"
"SAA","Acetylcholine (ACh)","Head","AB alppapapa","Ring interneuron, anteriorly projecting process that runs sublaterally",864.132,"tbb-2"
"SAB","Acetylcholine (ACh)","Head","AB plppapaap","Ring interneuron, anteriorly projecting process that runs sublaterally, synapses to anterior body muscles in L1",84.868,"avr-14"
"SAB","Acetylcholine (ACh)","Head","AB plppapaap","Ring interneuron, anteriorly projecting process that runs sublaterally, synapses to anterior body muscles in L1",85.998,"unc-7"
"SAB","Acetylcholine (ACh)","Head","AB plppapaap","Ring interneuron, anteriorly projecting process that runs sublaterally, synapses to anterior body muscles in L1",178.585,"unc-9"
"SAB","Acetylcholine (ACh)","Head","AB plppapaap","Ring interneuron, anteriorly projecting process that runs sublaterally, synapses to anterior body muscles in L1",592.687,"ben-1"
"SAB","Acetylcholine (ACh)","Head","AB plppapaap","Ring interneuron, anteriorly projecting process that runs sublaterally, synapses to anterior body muscles in L1",44.816,"tbb-1"
"SAB","Acetylcholine (ACh)","Head","AB plppapaap","Ring interneuron, anteriorly projecting process that runs sublaterally, synapses to anterior body muscles in L1",1491.32,"tbb-2"
"SDQ","Acetylcholine (ACh)","Body wall","QL.pap","Post. lateral interneuron, process projects into ring",11.283,"avr-14"
"SDQ","Acetylcholine (ACh)","Body wall","QL.pap","Post. lateral interneuron, process projects into ring",70.026,"unc-9"
"SDQ","Acetylcholine (ACh)","Body wall","QL.pap","Post. lateral interneuron, process projects into ring",212.08,"ben-1"
"SDQ","Acetylcholine (ACh)","Body wall","QL.pap","Post. lateral interneuron, process projects into ring",25.589,"tbb-1"
"SDQ","Acetylcholine (ACh)","Body wall","QL.pap","Post. lateral interneuron, process projects into ring",656.179,"tbb-2"
"SIA","Acetylcholine (ACh)","Head","AB plpapaapa","Receive a few synapses in the ring, have posteriorly directed processes that run sublaterally",178.19,"avr-14"
"SIA","Acetylcholine (ACh)","Head","AB plpapaapa","Receive a few synapses in the ring, have posteriorly directed processes that run sublaterally",59.847,"avr-15"
"SIA","Acetylcholine (ACh)","Head","AB plpapaapa","Receive a few synapses in the ring, have posteriorly directed processes that run sublaterally",38.741,"unc-7"
"SIA","Acetylcholine (ACh)","Head","AB plpapaapa","Receive a few synapses in the ring, have posteriorly directed processes that run sublaterally",76.801,"unc-9"
"SIA","Acetylcholine (ACh)","Head","AB plpapaapa","Receive a few synapses in the ring, have posteriorly directed processes that run sublaterally",175.36,"ben-1"
